,date,account_value
60,2021-12-28,1059453.0985538522
61,2021-12-29,1061377.4483081857
62,2021-12-30,1059509.9369442025
63,2021-12-31,1056074.0351192513
64,2022-01-03,1067147.2457515756
65,2022-01-04,1065484.1520931283
66,2022-01-05,1061795.5880519906
67,2022-01-06,1052049.2272312203
68,2022-01-07,1052189.873959736
69,2022-01-10,1051971.3703357736
70,2022-01-11,1058416.4036991159
71,2022-01-12,1060020.047131733
72,2022-01-13,1059157.1772586862
73,2022-01-14,1059775.2822315255
74,2022-01-18,1051492.2944627572
75,2022-01-19,1042444.9422235222
76,2022-01-20,1034002.7736215325
77,2022-01-21,1016953.499421093
78,2022-01-24,1011919.1011259576
79,2022-01-25,1008410.8661815224
80,2022-01-26,999218.0365512314
81,2022-01-27,1000122.790400261
82,2022-01-28,1026585.1004702988
83,2022-01-31,1038457.3429019394
84,2022-02-01,1046734.7165400925
85,2022-02-02,1054439.2726275865
86,2022-02-03,1046212.3079364243
87,2022-02-04,1040182.9312846604
88,2022-02-07,1041991.2205111923
89,2022-02-08,1060041.4460132066
90,2022-02-09,1064686.7900416795
91,2022-02-10,1050683.5984179918
92,2022-02-11,1038863.1000277939
93,2022-02-14,1032540.3857333603
94,2022-02-15,1044182.1684024277
95,2022-02-16,1043921.8288791123
96,2022-02-17,1031165.0282161179
97,2022-02-18,1024496.5911281052
98,2022-02-22,1013551.5175807419
99,2022-02-23,1001606.1292407456
100,2022-02-24,999290.2722499314
101,2022-02-25,1023288.5869662705
102,2022-02-28,1020318.6033542099
103,2022-03-01,1006168.2091319504
104,2022-03-02,1018460.2796962204
105,2022-03-03,1017211.7284381333
106,2022-03-04,1014555.0543696823
107,2022-03-07,989669.4507205429
108,2022-03-08,979620.3383947335
109,2022-03-09,994983.2794360924
110,2022-03-10,991962.6628894615
111,2022-03-11,988349.6619548607
112,2022-03-14,989513.7884623604
113,2022-03-15,1009661.8091619149
114,2022-03-16,1022588.0002063485
115,2022-03-17,1032993.2371181222
116,2022-03-18,1039170.3044322701
117,2022-03-21,1032743.0126193734
118,2022-03-22,1038882.5082210274
119,2022-03-23,1029410.5670207711
120,2022-03-24,1043546.6345027657
121,2022-03-25,1048445.3177455636
122,2022-03-28,1052311.6989597054
123,2022-03-29,1064824.559940693
124,2022-03-30,1069969.7831729623
125,2022-03-31,1055948.4129413338
126,2022-04-01,1062615.2010844918
127,2022-04-04,1065009.1840175362
128,2022-04-05,1060635.7538226815
129,2022-04-06,1067234.1337665292
130,2022-04-07,1072537.839477894
131,2022-04-08,1074320.8649486275
132,2022-04-11,1062687.9949001046
133,2022-04-12,1058211.8218806954
134,2022-04-13,1071785.3973315926
135,2022-04-14,1067969.8945773812
136,2022-04-18,1062272.8050960274
137,2022-04-19,1076266.9356731148
138,2022-04-20,1083577.7335513802
139,2022-04-21,1077243.4888499947
140,2022-04-22,1050752.0075267525
141,2022-04-25,1056940.814377186
142,2022-04-26,1033189.6971782418
143,2022-04-27,1028381.7263301583
144,2022-04-28,1038960.1360820504
145,2022-04-29,1012477.0685486031
146,2022-05-02,1006179.27486269
147,2022-05-03,1007975.142919941
148,2022-05-04,1031357.269205494
149,2022-05-05,1008344.0368179512
150,2022-05-06,1009575.1826309395
151,2022-05-09,989024.456037922
152,2022-05-10,987660.6337684823
153,2022-05-11,982366.5921577645
154,2022-05-12,978648.3303512764
155,2022-05-13,988683.1751388741
156,2022-05-16,990475.8424247933
157,2022-05-17,994951.2812294198
158,2022-05-18,960954.2066024971
159,2022-05-19,956659.3118385506
160,2022-05-20,962143.7857765389
161,2022-05-23,980294.614290638
162,2022-05-24,983039.538698597
163,2022-05-25,985834.5464767647
164,2022-05-26,997955.3523239327
165,2022-05-27,1014860.3999427987
166,2022-05-31,1010378.916860981
167,2022-06-01,1000693.2487358284
168,2022-06-02,1006616.0943092537
169,2022-06-03,997776.9563011361
170,2022-06-06,997909.7275375557
171,2022-06-07,1003895.8161873055
172,2022-06-08,996134.6593612862
173,2022-06-09,976350.3848404122
174,2022-06-10,959520.8429550362
175,2022-06-13,934971.1468948555
176,2022-06-14,934778.5390037728
177,2022-06-15,945485.275896473
178,2022-06-16,931620.2721733284
179,2022-06-17,933447.5497039986
180,2022-06-21,959848.063383503
