,a2c,ddpg,td3,ppo,sac,mean var,dji
2022-03-15,1009661.8091619149,1076002.9889208714,947508.1790026777,1017966.8209172284,1004842.4341692583,966677.7483586944,977215.2132090154
2022-03-16,1022588.0002063485,1081877.1938616673,963444.3935488813,1031795.797377548,1016366.2706637041,979540.3150198765,992327.8028725561
2022-03-17,1032993.2371181222,1097278.0943743626,976110.0556277387,1046460.1083451688,1025603.8935274737,992634.3937979563,1004495.0972816844
2022-03-18,1039170.3044322701,1097661.5451342503,989534.7881793134,1053245.5677919309,1032132.6621889727,1004441.378434552,1012482.170847153
2022-03-21,1032743.0126193734,1098847.730055515,981177.3549365156,1050314.6141621855,1023139.956401314,996503.2994472128,1006599.204740694
2022-03-22,1038882.5082210274,1100551.0667406956,990599.4618395917,1057252.0212995603,1030465.4639086382,1002737.3805069911,1014012.513578833
2022-03-23,1029410.5670207711,1092616.621977512,973503.3942736738,1047061.128013767,1016494.2326006548,991372.3879479695,1000933.3634061004
2022-03-24,1043546.6345027657,1103537.302611057,980856.3719119184,1061623.278800369,1027751.6774553912,1002697.683019298,1011113.3061297692
2022-03-25,1048445.3177455636,1111378.6373583714,983173.35009185,1067754.8588116718,1032212.8238329546,1000633.387093033,1015579.1575695408
2022-03-28,1052311.6989597054,1108484.0908190648,991515.5891894453,1070762.1050802532,1036250.5239519732,1008809.5679894884,1018336.5738940007
2022-03-29,1064824.559940693,1109660.7240588109,1003144.9428576581,1080783.0690522268,1044793.3239855425,1019785.5870412309,1028191.9674303739
2022-03-30,1069969.7831729623,1118961.1019274632,996168.0871829145,1083628.6971088827,1044922.4108843462,1017482.2810202382,1026287.2324033914
2022-03-31,1055948.4129413338,1102260.8598009984,981101.646135246,1071109.5543124655,1029079.1098513262,997560.2988964911,1010251.2934741717
2022-04-01,1062615.2010844918,1103528.269041721,984351.7577456586,1074725.7607040058,1036180.7387270586,1002039.5755235023,1014327.3900168579
2022-04-04,1065009.1840175362,1100974.9154650609,993080.7282351606,1079461.6497413595,1036278.5465426104,1011717.0216019544,1017345.7429775272
2022-04-05,1060635.7538226815,1093584.644407932,981116.1411608808,1071146.8370889546,1031751.1977495806,1007389.2251567799,1009168.4007440506
