,date,account_value
115,2021-06-22,1101449.1330068463
116,2021-06-23,1120867.2361320127
117,2021-06-24,1123137.2739590835
118,2021-06-27,1120776.894726802
119,2021-06-28,1131449.9756763198
120,2021-06-29,1139292.1007749974
121,2021-06-30,1134310.2698661913
122,2021-07-05,1134608.693764091
123,2021-07-06,1141564.2065026166
124,2021-07-07,1145899.172271108
125,2021-07-08,1150955.4475996585
126,2021-07-12,1144041.0343845333
127,2021-07-13,1147495.8499820868
128,2021-07-14,1138898.0364767318
129,2021-07-15,1153728.3729913577
130,2021-07-18,1157897.9067159723
131,2021-07-19,1154344.736598583
132,2021-07-25,1155815.1431323213
133,2021-07-26,1157594.8300418388
134,2021-07-27,1147696.4363352873
135,2021-07-28,1123681.9072660338
136,2021-07-29,1141877.7519232768
137,2021-08-02,1151340.8525643775
138,2021-08-03,1152179.6447243462
139,2021-08-05,1160060.801445876
140,2021-08-09,1162798.9602596043
141,2021-08-10,1159960.5082692758
142,2021-08-11,1155739.018543381
143,2021-08-12,1160821.1426287876
144,2021-08-16,1155889.1998207131
145,2021-08-17,1152669.6079105467
146,2021-08-18,1161875.5134209332
147,2021-08-19,1151164.5640426215
148,2021-08-22,1160150.1089008127
149,2021-08-23,1164923.2110980086
150,2021-08-24,1161394.209568279
151,2021-08-25,1166781.3489845833
152,2021-08-26,1174070.181442764
153,2021-08-29,1174562.6002608656
154,2021-08-31,1175076.3443033735
155,2021-09-01,1178716.4954875826
156,2021-09-02,1169382.2508994073
