,date,account_value
103,2021-06-06,1702968.6156000006
104,2021-06-07,1696758.2156000005
105,2021-06-08,1688849.9156000004
106,2021-06-09,1696479.5156000005
107,2021-06-10,1691982.5156000005
108,2021-06-13,1687217.4156000004
109,2021-06-14,1685655.7156000005
110,2021-06-15,1688350.3156000006
111,2021-06-16,1691578.6156000006
112,2021-06-17,1704333.4156000004
113,2021-06-20,1708914.5156000005
114,2021-06-21,1717277.9156000006
115,2021-06-22,1710479.2156000005
116,2021-06-23,1703048.2156000005
117,2021-06-24,1707569.3156000003
118,2021-06-27,1690466.5156000005
119,2021-06-28,1699116.7156000005
120,2021-06-29,1701872.5156000005
121,2021-06-30,1713900.9156000004
122,2021-07-05,1718661.9156000004
123,2021-07-06,1710432.7156000005
124,2021-07-07,1713470.8156000006
125,2021-07-08,1725664.8156000003
126,2021-07-12,1735449.6156000004
127,2021-07-13,1746182.8156000003
128,2021-07-14,1747748.4156000006
129,2021-07-15,1753102.7156000005
130,2021-07-18,1782810.8156000006
131,2021-07-19,1782893.4156000004
132,2021-07-25,1792323.4156000004
133,2021-07-26,1781957.8156000006
134,2021-07-27,1774487.4156000002
135,2021-07-28,1772586.4156000004
136,2021-07-29,1775537.5156000005
137,2021-08-02,1784098.2156000005
138,2021-08-03,1794031.5156000005
139,2021-08-05,1803859.9156000004
140,2021-08-09,1822234.4156000004
141,2021-08-10,1823038.0156000005
142,2021-08-11,1838409.9156000004
143,2021-08-12,1846786.5156000005
144,2021-08-16,1845805.2156000007
145,2021-08-17,1845953.4156000006
146,2021-08-18,1842699.5156000005
147,2021-08-19,1841030.8156000003
148,2021-08-22,1855317.4156000004
149,2021-08-23,1870587.3156000003
150,2021-08-24,1881725.0156000005
151,2021-08-25,1871144.0156000005
152,2021-08-26,1864272.5156000005
153,2021-08-29,1875514.5156000005
154,2021-08-31,1883027.2156000005
155,2021-09-01,1893607.1156000006
156,2021-09-02,1909373.4156000004
157,2021-09-05,1955700.6156000006
158,2021-09-06,1986854.8156000006
159,2021-09-07,2046205.0156000005
160,2021-09-08,2081692.0156000007
161,2021-09-09,2091077.1156000006
162,2021-09-12,2083969.5156000005
163,2021-09-13,2063374.4156000006
164,2021-09-14,2036413.8156000006
165,2021-09-15,2041530.7156000007
166,2021-09-16,2069685.9156000006
167,2021-09-19,2056794.0156000005
168,2021-09-20,2046107.5156000005
169,2021-09-21,2056915.8156000006
170,2021-09-22,2044638.6156000004
171,2021-09-23,2047922.1156000006
172,2021-09-26,2044686.8156000003
173,2021-09-27,2048229.0156000003
174,2021-09-28,2046298.3156000006
175,2021-09-29,2041375.3156000006
176,2021-09-30,2048122.0156000003
177,2021-10-03,2062657.9156000004
178,2021-10-04,2077866.2156000005
179,2021-10-05,2070390.5156000005
180,2021-10-06,2075995.1156000006
181,2021-10-07,2073151.4156000002
182,2021-10-10,2085745.0156000005
183,2021-10-11,2076700.9156000004
184,2021-10-12,2080947.0156000003
185,2021-10-13,2065531.8156000003
186,2021-10-14,2063360.9156000004
187,2021-10-17,2074783.6156000004
188,2021-10-18,2050466.4156000006
189,2021-10-19,2036523.5156000005
190,2021-10-21,2043288.8156000006
191,2021-10-24,2048594.3156000006
192,2021-10-25,2013118.9156000004
193,2021-10-26,2032391.4156000004
194,2021-10-27,2018402.9156000004
195,2021-10-28,2007868.5156000005
196,2021-10-31,1989536.5156000003
197,2021-11-01,2003096.8156000006
198,2021-11-02,1991083.5156000003
199,2021-11-03,1975208.7156000002
200,2021-11-04,1983353.2156000005
201,2021-11-07,1987878.3156000003
202,2021-11-08,1968201.2156000005
203,2021-11-09,1969134.7156000005
204,2021-11-10,1989069.0156000005
205,2021-11-11,1991344.0156000005
206,2021-11-14,1972313.9156000004
207,2021-11-15,1979225.2156000005
208,2021-11-16,1926093.8156000008
209,2021-11-17,1925449.8156000006
210,2021-11-18,1932075.6156000004
211,2021-11-21,1931672.1156000008
212,2021-11-22,1925707.0156000005
213,2021-11-23,1918095.7156000007
214,2021-11-24,1911000.6156000006
215,2021-11-25,1902899.1156000004
216,2021-11-28,1888211.2156000005
217,2021-11-29,1885702.2156000005
218,2021-11-30,1866391.5156000003
219,2021-12-01,1895001.2156000005
220,2021-12-02,1932511.2156000007
221,2021-12-05,1929285.0156000005
222,2021-12-06,1935612.5156000005
223,2021-12-07,1943082.4156000006
224,2021-12-08,1929247.2156000005
225,2021-12-09,1942079.4156000006
226,2021-12-12,1948558.3156000006
227,2021-12-13,1924862.8156000006
228,2021-12-14,1943236.6156000004
229,2021-12-15,1949866.8156000003
230,2021-12-19,1929169.6156000006
231,2021-12-20,1916464.5156000005
232,2021-12-21,1919895.3156000006
233,2021-12-22,1918586.2156000005
234,2021-12-23,1902622.6156000004
235,2021-12-26,1891148.2156000005
236,2021-12-27,1894644.0156000003
237,2021-12-28,1906680.7156000005
238,2021-12-29,1926590.7156000002
239,2021-12-30,1948419.9156000004
240,2022-01-02,1951153.7156000005
241,2022-01-03,1953487.8156000006
242,2022-01-04,1954784.4156000004
243,2022-01-05,1950696.8156000006
244,2022-01-06,1959790.1156000006
245,2022-01-09,1957356.0156000005
246,2022-01-10,1972586.8156000003
247,2022-01-11,1984664.3156000006
248,2022-01-12,1969454.8156000003
249,2022-01-13,1989203.4156000004
250,2022-01-16,1996070.8156000006
251,2022-01-17,2001354.6156000006
252,2022-01-18,1996666.9156000004
253,2022-01-19,2001317.9156000006
254,2022-01-20,2009257.4156000004
255,2022-01-23,2025748.2156000002
256,2022-01-24,2030284.7156000002
257,2022-01-25,2018739.1156000004
258,2022-01-26,2011479.6156000004
259,2022-01-27,2014311.3156000003
260,2022-01-30,2009155.8156000006
261,2022-01-31,2000062.1156000006
262,2022-02-01,2015609.1156000004
263,2022-02-02,2023840.7156000005
264,2022-02-03,2014580.6156000004
265,2022-02-06,2036167.5156000005
266,2022-02-07,2023493.3156000006
267,2022-02-08,2021164.6156000004
268,2022-02-09,2026857.6156000006
269,2022-02-10,2014638.8156000003
270,2022-02-13,2015242.8156000003
271,2022-02-14,2018131.9156000004
272,2022-02-15,2024075.3156000006
273,2022-02-16,2035541.9156000004
274,2022-02-17,2024764.6156000006
275,2022-02-20,2008041.6156000006
276,2022-02-22,2000341.5156000005
277,2022-02-23,2012226.9156000006
278,2022-02-24,1996363.4156000004
279,2022-02-27,1971904.7156000005
280,2022-02-28,1985567.4156000004
281,2022-03-01,1989484.3156000006
282,2022-03-02,1973721.3156000006
283,2022-03-03,1974486.7156000005
284,2022-03-06,1951432.3156000006
285,2022-03-07,1903068.0156000005
286,2022-03-08,1886900.9156000006
287,2022-03-09,1928625.6156000004
288,2022-03-10,1925124.9156000004
289,2022-03-13,1941157.7156000002
290,2022-03-14,1939668.1156000006
291,2022-03-15,1942992.2156000005
