date,a2c,ddpg,td3,ppo,sac,mvo
2021-10-13,2314294.6998000005,2150288.80185,2396782.8414000003,2210339.52895,2156829.5181999994,2126448.192111496
2021-10-14,2311908.8998000002,2149164.80185,2386019.3414000003,2208598.08215,2164045.8181999996,2127603.790029671
2021-10-17,2300769.6998000005,2141533.20185,2376850.4414,2190509.6718,2165518.0182,2129205.6607970856
2021-10-18,2277560.4998000003,2119741.70185,2336315.7414,2168650.3840000005,2150324.6182,2101922.893795401
2021-10-19,2267555.8998000002,2119852.40185,2320908.7413999997,2157380.6677500005,2150002.5181999994,2103495.4230055236
2021-10-21,2273971.6998000005,2116408.80185,2323175.7413999997,2163701.0507000005,2146095.5182,2100157.53383867
2021-10-24,2253408.2998000006,2100792.70185,2281942.4414,2147116.94005,2137611.5181999994,2074132.700492234
2021-10-25,2232945.2998000006,2081626.7018499998,2242904.8414000003,2126071.12955,2124865.114249999,2051795.4014993408
2021-10-26,2254243.9998000003,2095378.1018499997,2267115.3414000003,2131865.5157,2133338.91425,2062882.6995595586
2021-10-27,2253660.8998000002,2090078.30185,2269159.5414,2142061.4062,2124414.01425,2052996.4401768781
2021-10-28,2271350.3998000002,2095436.00185,2272800.8414000003,2157186.9939500005,2136814.614249999,2053037.6040729007
2021-10-31,2315190.0998000004,2115049.90185,2267348.9414,2167917.62345,2180228.6142499996,2066871.0121527477
2021-11-01,2306673.7998000006,2114425.80185,2268113.7413999997,2168137.9584,2171560.5102,2065885.306115402
2021-11-02,2289872.5998000004,2104027.90185,2263409.6414,2167591.5941000003,2149680.0102,2055899.0014008642
2021-11-03,2297539.3998000002,2103238.9018499996,2259256.0414,2164944.0844000005,2150750.5102,2048703.8833271626
2021-11-04,2305208.2998000006,2103830.9018499996,2254800.1414,2163367.9212500006,2161455.010199999,2051017.0548263302
2021-11-07,2306985.8998000002,2105916.00185,2243699.3414000003,2165025.930150001,2175162.710199999,2055408.5600536303
2021-11-08,2309024.5998000004,2104739.20185,2227734.3414000003,2157362.8172,2179473.9101999993,2050576.8038511323
2021-11-09,2311127.2998000006,2103524.20185,2233972.8414000003,2164938.5500999996,2176908.0063499995,2048223.9850309198
2021-11-10,2322644.9998000003,2109960.9018499996,2248033.1414,2177572.38725,2183513.50635,2051419.9942464945
2021-11-11,2308365.4998000003,2099217.4018499996,2255850.7414,2187510.92405,2161607.6063499996,2044359.034102202
2021-11-14,2302717.4998000003,2088741.6018499997,2249054.0414,2182140.2943500006,2152430.6063499996,2036531.054616733
2021-11-15,2283326.4998000003,2079279.7018499998,2246067.1414,2177732.9646000005,2133981.30635,2029321.2804221082
2021-11-16,2275912.3998000002,2075838.30185,2256034.1414,2203644.4346,2117919.50635,2024084.762919421
2021-11-17,2285541.2998000006,2083502.1018499997,2255565.5414,2201729.9164,2130919.3063499993,2031875.0555730886
2021-11-18,2287073.4998000003,2083557.5018499997,2268874.4414,2203447.6015,2133823.606349999,2039458.761518424
2021-11-21,2280454.7998000006,2088528.6018499997,2254685.4414,2204092.9842000003,2137721.90635,2042099.2161537162
2021-11-22,2291427.2998000006,2095662.7018499998,2255894.7414,2201508.25535,2152479.8063499993,2045517.3545930157
2021-11-23,2300284.5998000004,2095627.30185,2252247.3414,2204463.2936,2165509.40635,2047050.0360908199
2021-11-24,2283755.9998000003,2084310.7018499998,2245232.9414,2185338.61755,2153062.60635,2038469.8553955867
2021-11-25,2269790.2998000006,2077503.5018499997,2231451.4414,2173426.8866500002,2145187.6063499996,2031847.3125636368
2021-11-28,2244633.7998000006,2065819.0018499997,2218496.1414,2151595.0183,2126925.00635,2025095.47621314
2021-11-29,2239567.0998000004,2069423.30185,2224418.3414,2148795.059,2119116.3063499997,2027437.0761171374
2021-11-30,2225525.3998000002,2062051.0018499997,2196257.1414,2125246.38955,2117493.3063499997,2015619.631155016
2021-12-01,2265311.5998000004,2084266.50185,2224787.8414000003,2167790.5298500005,2145984.5063499995,2033788.052664544
2021-12-02,2278306.2998000006,2096521.1018499997,2246219.9414,2181614.25835,2157186.10635,2047413.59097898
2021-12-05,2288527.9998000003,2103616.6018499997,2256321.6414,2188337.3979500006,2162924.2063499996,2057461.5932449708
2021-12-06,2301120.6998000005,2116716.20185,2254912.9414,2193683.426000001,2175458.80635,2063736.904590836
2021-12-07,2315427.6998000005,2128137.5018499997,2284743.9414,2202186.96495,2186777.5063499995,2081398.698495348
2021-12-08,2311765.9998000003,2129718.20185,2283802.8414000003,2195148.89255,2183970.50635,2083017.9777754077
2021-12-09,2372008.9998000003,2176758.30185,2312897.1414,2218577.83255,2237339.10635,2122162.052359427
2021-12-12,2433887.1998000005,2233182.6018499997,2365224.0414000005,2232156.8631000007,2298128.9063499994,2179602.9141290667
2021-12-13,2464162.8998000002,2239851.30185,2314900.3414000003,2241484.7331999997,2344421.2063499996,2173252.1701818584
2021-12-14,2525214.4998000003,2293291.9018499996,2363200.4414,2262255.8033,2404557.1063499996,2217007.4887013
2021-12-15,2592084.2998000006,2341585.6018499997,2404232.0414,2293966.3737999997,2468223.2063499996,2264263.032095179
2021-12-19,2556511.8998000002,2318137.70185,2377787.6414,2262752.23565,2434163.5063500004,2242945.4955180017
