date,account_value
2022-03-09,1096211.0116738155
2022-03-10,1099257.1584254797
2022-03-13,1126881.7248772054
2022-03-14,1121384.469756696
2022-03-15,1101610.300005842
2022-03-16,1121343.1117457268
2022-03-20,1118143.9403534764
2022-03-21,1112193.0395501489
2022-03-22,1085809.2134274985
2022-03-23,1079696.887137607
2022-03-24,1101322.4740982533
2022-03-27,1097610.851101338
2022-03-28,1090004.9836403218
2022-03-29,1090039.6209745083
2022-03-30,1109861.74016933
2022-03-31,1127025.702452892
2022-04-03,1140844.577111753
2022-04-04,1149915.8105989208
2022-04-05,1143234.2946830657
2022-04-06,1151653.8810099007
2022-04-07,1136799.3759076146
2022-04-10,1148361.1371178327
2022-04-11,1153433.1801880654
2022-04-12,1156564.886324922
2022-04-13,1167758.0442623773
2022-04-17,1165594.7618011206
2022-04-18,1147382.1154519215
2022-04-19,1152011.4985609998
2022-04-20,1155439.5606952074
2022-04-21,1146152.2316007256
2022-04-24,1141365.6880499646
2022-04-25,1144246.1442701838
2022-04-26,1148797.205645989
2022-04-27,1135131.0971401453
2022-04-28,1132228.798720383
2022-05-05,1143618.1487223736
2022-05-08,1139867.494102606
2022-05-09,1138559.2885181373
2022-05-10,1155086.2081889897
2022-05-11,1163344.2397854761
2022-05-12,1151167.53664966
2022-05-16,1118697.7499691106
2022-05-17,1126574.3831581906
2022-05-18,1099798.1729064703
2022-05-19,1101841.2586483478
2022-05-22,1122171.564402953
2022-05-23,1091097.4813488293
2022-05-24,1093886.303725995
2022-05-25,1096112.6571539794
2022-05-26,1126958.1079537142
2022-05-29,1091784.2828184864
2022-05-30,1088522.040459508
2022-05-31,1066894.3855983135
2022-06-01,1064083.3979121442
2022-06-02,1053276.3557802213
2022-06-05,1049841.7022130156
2022-06-06,1065271.859130479
2022-06-07,1066157.2436746801
2022-06-08,1080423.1079614689
2022-06-09,1041893.3387236609
2022-06-12,1034053.8631225609
2022-06-13,1034344.0154182666
2022-06-14,1054802.6602506605
2022-06-15,1056403.344518952
2022-06-16,1062744.6907945857
2022-06-19,1079847.3915243994
2022-06-20,1098897.6022176165
2022-06-21,1091524.6320558705
2022-06-22,1085671.9565285947
2022-06-23,1100066.2245150644
2022-06-26,1088532.8969373875
2022-06-27,1089064.993597263
2022-06-28,1097811.6959421071
2022-06-29,1088903.4388669145
2022-06-30,1067790.691242286
2022-07-03,1038674.6515199845
2022-07-04,1009689.3418854807
2022-07-05,1004663.1803586669
2022-07-06,1014711.4968549818
2022-07-07,990179.2818078
2022-07-12,988912.3696124082
2022-07-13,1010136.3315134085
2022-07-14,1008577.3283655468
2022-07-17,1015003.6524293438
2022-07-18,1042244.3648417616
2022-07-19,1040179.1137908804
2022-07-20,1023924.769261072
2022-07-21,1026648.452770961
2022-07-24,1018248.4468774444
2022-07-25,1028896.6483984885
2022-07-26,1024613.9617407379
2022-07-27,1026925.357578778
2022-07-28,1038402.0763789407
2022-07-31,1036866.8540873864
2022-08-01,1031430.4081673799
2022-08-02,1025060.9513686659
2022-08-03,1018161.0780792721
2022-08-04,1013442.322893365
2022-08-07,1035216.152474579
2022-08-08,1028081.0554977979
2022-08-10,1053042.8122620299
2022-08-11,1054623.9807188953
2022-08-14,1059985.982219157
2022-08-16,1055432.9175646955
2022-08-17,1058435.5091610579
2022-08-21,1050875.264755892
2022-08-22,1065302.6191511373
2022-08-23,1076288.663924286
2022-08-24,1086727.3612710144
2022-08-25,1085181.2178796884
2022-08-28,1071872.9207906204
2022-08-29,1085647.7879409345
2022-08-30,1082812.954776566
2022-08-31,1085348.9763116823
2022-09-01,1086310.8085542843
2022-09-04,1084387.531800433
2022-09-05,1102092.1208336328
2022-09-06,1102990.7528657224
2022-09-07,1117031.9268335428
2022-09-08,1122040.8989370475
2022-09-11,1129967.420226859
2022-09-12,1124286.768176458
2022-09-13,1124906.1043907215
2022-09-14,1115234.921256932
2022-09-15,1093956.0953695052
2022-09-18,1088860.1421991813
2022-09-19,1090833.436297548
2022-09-20,1101505.4832967918
2022-09-21,1068141.7819822791
2022-09-22,1062040.3121702669
2022-09-25,1051845.6917101487
2022-09-26,1042566.9573273213
2022-09-27,1047397.2498990607
2022-09-28,1036214.6899519162
2022-09-29,1030486.15307944
2022-10-02,1044911.1164646759
2022-10-03,1051304.7418510502
2022-10-04,1063784.6509047842
2022-10-06,1071382.2467636066
2022-10-10,1029151.7756286548
2022-10-11,1030148.3098273354
2022-10-12,1024415.4432880859
2022-10-13,1019803.1849804248
2022-10-16,1026329.8022208218
2022-10-17,1015958.8932389474
2022-10-18,998672.8602011343
2022-10-19,995129.3187456735
2022-10-20,979040.4062597418
2022-10-23,968135.1388517672
2022-10-24,963972.1965601508
2022-10-25,982128.3633756201
2022-10-26,966970.4584897398
2022-10-27,950423.9583855694
2022-10-30,975747.6623676737
2022-10-31,1003058.1664236023
2022-11-01,1001653.6095979536
2022-11-02,990174.9521410267
2022-11-03,969325.538726866
2022-11-06,966218.4535309143
2022-11-07,967419.7745057846
2022-11-08,966482.1108508429
2022-11-09,993873.3922719455
2022-11-10,980510.1019526668
2022-11-13,998740.3900784199
2022-11-14,1009922.9500255644
2022-11-15,1006614.6322574909
2022-11-16,1003629.5531938984
2022-11-17,1028410.3040382479
2022-11-20,1042209.27515433
2022-11-21,1053363.4014689333
2022-11-22,1053441.7878240983
2022-11-23,1059866.1732311307
2022-11-24,1087278.9737423158
2022-11-27,1083015.7382740993
2022-11-28,1080377.0971742657
2022-11-29,1063653.9208169861
2022-11-30,1058806.438821938
2022-12-01,1072106.2058212433
2022-12-04,1086127.540868177
2022-12-05,1097172.7146726334
2022-12-06,1075769.4916428383
2022-12-07,1115520.5500201879
2022-12-08,1116595.4705740337
2022-12-11,1109608.939327281
2022-12-12,1111469.1451144041
2022-12-13,1110175.673321343
2022-12-14,1109927.2667679593
2022-12-15,1116523.740273759
2022-12-18,1115021.2812815192
2022-12-19,1128183.726760029
2022-12-20,1131358.6003208347
2022-12-21,1136419.9161569723
2022-12-22,1119957.1014031223
2022-12-26,1120058.6870175654
2022-12-27,1144451.2541558337
2022-12-28,1138007.4175592675
2022-12-29,1139161.047577739
